id;image_id;document_id;image_data;caption
1;72943;75367;Berkshire;Islands
2;98845;24750;compress;Soft Franc Buckinghamshire
3;83822;19099;Skyway user-centric Books;Dynamic
4;9674;49322;viral SMS;Cotton PNG
5;68391;52158;JBOD;Soft XML
6;25599;73359;Global copying;intermediate Cotton
7;39693;91537;Intelligent Pants content-based;Rhode Awesome Tuna
8;43338;22015;monitor metrics;state Automotive
9;18913;96761;Shoes overriding Australia;Chicken Investment
10;53417;68768;Card firewall parse;Chips Assurance scale
